Date,Price,Company
2023-03-01,1312.5,JET2
2023-02-01,1293.5,JET2
2023-01-01,1215.0,JET2
2022-12-01,958.4,JET2
2022-11-01,1007.5,JET2
2022-10-01,849.8,JET2
2022-09-01,693.0,JET2
2022-08-01,854.4,JET2
2022-07-01,916.6,JET2
2022-06-01,905.8,JET2
2022-05-01,1168.0,JET2
2022-04-01,1240.5,JET2
2022-03-01,1145.0,JET2
2022-02-01,1283.5,JET2
2022-01-01,1318.0,JET2
2021-12-01,1115.0,JET2
2021-11-01,976.2,JET2
2021-10-01,1219.5,JET2
2021-09-01,1280.0,JET2
2021-08-01,1154.0,JET2
2021-07-01,1241.5,JET2
2021-06-01,1183.5,JET2
2021-05-01,1350.0,JET2
2021-04-01,1491.5,JET2
2021-03-01,1268.0,JET2
2021-02-01,1454.0,JET2
2021-01-01,1319.0,JET2
2020-12-01,1430.0,JET2
2020-11-01,1399.0,JET2
2020-10-01,850.5,JET2
2020-09-01,671.5,JET2
2020-08-01,714.0,JET2
2020-07-01,646.5,JET2
2020-06-01,839.5,JET2
2020-05-01,882.0,JET2
2020-04-01,643.5,JET2
2020-03-01,551.0,JET2
2020-02-01,1229.0,JET2
2020-01-01,1700.0,JET2
2019-12-01,1694.0,JET2
2019-11-01,1482.0,JET2
2019-10-01,1265.0,JET2
2019-09-01,915.0,JET2
2019-08-01,752.0,JET2
2019-07-01,759.5,JET2
2019-06-01,835.0,JET2
2019-05-01,896.5,JET2
2019-04-01,931.0,JET2
2019-03-01,793.5,JET2
2019-02-01,804.5,JET2
2019-01-01,794.0,JET2
2018-12-01,772.0,JET2
2018-11-01,835.0,JET2
2018-10-01,850.0,JET2
2018-09-01,932.5,JET2
2018-08-01,979.0,JET2
2018-07-01,920.5,JET2
2018-06-01,777.5,JET2
2018-05-01,807.5,JET2
2018-04-01,857.5,JET2
2018-03-01,832.5,JET2
2018-02-01,807.0,JET2
2018-01-01,684.0,JET2
2017-12-01,680.5,JET2
2017-11-01,701.5,JET2
2017-10-01,600.0,JET2
2017-09-01,536.5,JET2
2017-08-01,516.5,JET2
2017-07-01,486.25,JET2
2017-06-01,615.5,JET2
2017-05-01,625.0,JET2
2017-04-01,608.5,JET2
2017-03-01,516.0,JET2
2017-02-01,533.5,JET2
2017-01-01,510.0,JET2
2016-12-01,496.0,JET2
2016-11-01,477.0,JET2
2016-10-01,358.75,JET2
2016-09-01,419.0,JET2
2016-08-01,448.75,JET2
2016-07-01,485.0,JET2
2016-06-01,527.0,JET2
2016-05-01,648.5,JET2
2016-04-01,624.5,JET2
2016-03-01,664.0,JET2
2016-02-01,569.5,JET2
2016-01-01,553.5,JET2
2015-12-01,588.5,JET2
2015-11-01,521.5,JET2
2015-10-01,473.25,JET2
2015-09-01,484.0,JET2
2015-08-01,453.0,JET2
2015-07-01,446.0,JET2
2015-06-01,395.0,JET2
2015-05-01,414.5,JET2
2015-04-01,387.0,JET2
2015-03-01,362.0,JET2
2015-02-01,292.25,JET2
2015-01-01,288.25,JET2
2014-12-01,291.0,JET2
2014-11-01,269.5,JET2
2014-10-01,261.0,JET2
2014-09-01,216.75,JET2
2014-08-01,218.5,JET2
2014-07-01,209.0,JET2
2014-06-01,206.0,JET2
2014-05-01,276.0,JET2
2014-04-01,294.5,JET2
2014-03-01,278.5,JET2
2014-02-01,286.75,JET2
2014-01-01,255.5,JET2
