Date,Price,Open,High,Low,Vol.,Change %,Company
07/01/2020,415.23,572.50,613.92,413.64,100.58M,-27.47%,EZJ
06/01/2020,572.50,588.83,804.53,543.37,170.58M,0.00%,EZJ
05/01/2020,572.50,495.04,650.13,375.24,144.57M,12.73%,EZJ
04/01/2020,507.84,466.42,588.50,389.55,107.58M,5.64%,EZJ
03/01/2020,480.73,961.04,964.83,345.18,131.18M,-48.12%,EZJ
02/01/2020,926.53,"1,187.10","1,321.80",868.03,60.91M,-21.00%,EZJ
01/01/2020,"1,172.78","1,206.04","1,301.10","1,119.74",42.32M,-2.21%,EZJ
12/01/2019,"1,199.31","1,122.69","1,311.28","1,084.38",45.49M,6.47%,EZJ
11/01/2019,"1,126.48","1,047.76","1,156.70","1,041.45",41.54M,8.08%,EZJ
10/01/2019,"1,042.29",967.78,"1,119.74",897.06,63.22M,7.65%,EZJ
09/01/2019,968.20,809.08,979.69,763.38,49.25M,19.37%,EZJ
08/01/2019,811.10,809.08,864.22,739.70,46.51M,-0.06%,EZJ
07/01/2019,811.60,808.24,943.36,793.42,66.15M,1.13%,EZJ
06/01/2019,802.51,729.27,803.86,707.21,76.71M,9.41%,EZJ
05/01/2019,733.47,985.04,996.40,724.05,65.86M,-25.12%,EZJ
04/01/2019,979.57,888.22,"1,036.39",839.64,56.46M,4.12%,EZJ
03/01/2019,940.84,"1,043.55","1,068.81",921.05,47.50M,-8.96%,EZJ
02/01/2019,"1,033.45","1,060.81","1,151.32","1,022.08",46.99M,-2.89%,EZJ
01/01/2019,"1,064.18",935.79,"1,108.38",907.16,59.70M,14.39%,EZJ
12/01/2018,930.31,946.31,961.46,867.17,40.30M,-0.67%,EZJ
11/01/2018,936.63,"1,003.98","1,084.80",920.21,66.56M,-7.29%,EZJ
10/01/2018,"1,010.30","1,052.39","1,078.49",893.69,69.10M,-8.68%,EZJ
09/01/2018,"1,106.27","1,282.23","1,305.81","1,077.23",52.67M,-13.84%,EZJ
08/01/2018,"1,283.92","1,364.32","1,377.79","1,268.34",35.60M,-5.81%,EZJ
07/01/2018,"1,363.06","1,396.31","1,463.62","1,318.01",46.70M,-3.23%,EZJ
06/01/2018,"1,408.52","1,443.88","1,522.60","1,384.10",38.69M,-2.11%,EZJ
05/01/2018,"1,438.83","1,339.06","1,512.50","1,337.38",55.48M,7.48%,EZJ
04/01/2018,"1,338.64","1,338.22","1,411.05","1,307.07",46.73M,-0.90%,EZJ
03/01/2018,"1,350.85","1,385.37","1,420.73","1,301.18",54.39M,-4.44%,EZJ
02/01/2018,"1,413.57","1,398.00","1,430.14","1,326.85",44.34M,1.14%,EZJ
